Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Well-Designed 3 Bedroom Apartment With A Boys' Quarters,"Lekki Phase 1, Lekki, Lagos","₦340,000,000",The Home Properties. A Division Of Onozefe Uzuazor Bridget Enterprise 07034194181,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3361023-well-designed-3-bedroom-apartment-with-a-boys-quarters,340000000
"Contemporary 3 Bedroom Apartment With Swimming Pool, Gym And Elevator","Ikate, Lekki, Lagos","₦190,000,000",Island Luxury Homes 07015290935,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3360988-contemporary-3-bedroom-apartment-with-swimming-pool-gym-and-elevator,190000000
Spacious 3 Bedroom Apartment With An Elevator,"Lekki Phase 1, Lekki, Lagos","₦370,000,000",Island Luxury Homes 07015290935,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3360978-spacious-3-bedroom-apartment-with-an-elevator,370000000
3 Bedrooms Elevated Bungalow With Mini Flat Bq,"Diamond Estate, Sangotedo, Ajah, Lagos","₦90,000,000",Cathyhills Edge Limited 09133123447,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-bungalows/lagos/ajah/sangotedo/3355464-3-bedrooms-elevated-bungalow-with-mini-flat-bq,90000000
3 Bedroom With Bq,"Lekki Phase 1, Lekki, Lagos","₦330,000,000",Joe Etoniru And Associates 09034271406,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3356374-3-bedroom-with-bq,330000000
Newly Built 2 Bedroom Maisonette,"Ikate, Lekki, Lagos","₦170,000,000",Lekki Luxury Expert 09127982556,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359729-newly-built-2-bedroom-maisonette,170000000
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000",Bankofproperty Ltd 08061764516,3,3.0,3.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq,300000000
3 Bedroom Apartment With Bq,"Ikate, Lekki, Lagos","₦270,000,000",Lekki Luxury Expert 09127982556,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3359597-3-bedroom-apartment-with-bq,270000000
A Block Of Flats (4 Units 3 Bedroom Apartment) On A Tarred Street,"Fidiso Estate, Abijo, Lekki, Lagos","₦250,000,000",Knight Angels Realties Ltd 08151917169,3,3.0,4.0,7.0,,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/abijo/3336716-a-block-of-flats-4-units-3-bedroom-apartment-on-a-tarred-street,250000000
Luxury 3 Bedroom Terrace Duplex With Bq And Solar,"Citadel Oasis By Abraham Adesanya, Ogombo, Ajah, Lagos","₦118,800,000",Innosinach Properties 08036411790,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/ogombo/3106566-luxury-3-bedroom-terrace-duplex-with-bq-and-solar,118800000
Luxury 3-Bedrooms Bungalow With Bq Selling Fast,"Solace City, Eleranigbe, Ibeju Lekki, Lagos","₦69,000,000",Innosinach Properties 08036411790,3,,,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleranigbe/3308060-luxury-3-bedrooms-bungalow-with-bq-selling-fast,69000000
